date,description,amount,category
2026-05-01,COSTCO WHSE #0512 SAN JOSE CA,-35.01,Groceries
2026-05-01,ATM WITHDRAWAL #88213 MAIN ST,-75.35,Other
2026-05-02,WASTE MGMT #4471 AUTOPAY,-117.99,Utilities
2026-05-05,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-58.00,Groceries
2026-05-05,NETFLIX.COM LOS GATOS CA,-20.65,Subscriptions
2026-05-05,TARGET #1145 SAN DIEGO CA,-97.21,Shopping
2026-05-06,TICKETMASTER 800-653-8000 CA,-43.69,Entertainment
2026-05-07,PANERA BREAD #601934 DALLAS TX,-41.64,Dining
2026-05-07,AMAZON PRIME*MI79K2 SEATTLE WA,-17.19,Subscriptions
2026-05-07,METRO TRANSIT FARE MINNEAPOLIS MN,-46.50,Transport
2026-05-08,TST* THE CORNER BISTRO NYC NY,-19.67,Dining
2026-05-08,76 - GAS STATION #3221,-41.34,Transport
2026-05-08,LYFT *RIDE MON 8PM SAN FRANCISCO CA,-47.49,Transport
2026-05-08,BART CLIPPER RELOAD SAN FRANCISCO CA,-21.59,Transport
2026-05-09,AMC 24 THEATRES #1187 BURBANK CA,-21.89,Entertainment
2026-05-09,TJ MAXX #0872 DENVER CO,-104.70,Shopping
2026-05-09,DIRECT DEP EMPLOYER DISBURSEMENT,1737.71,Income
2026-05-10,SHELL OIL 57443921 PHOENIX AZ,-37.70,Transport
2026-05-10,REGAL CINEMAS 0421 NEW YORK NY,-64.71,Entertainment
2026-05-10,OVERDRAFT FEE,-83.86,Other
2026-05-12,76 - GAS STATION #3221,-64.13,Transport
2026-05-13,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-110.26,Groceries
2026-05-13,WHOLEFDS MKT 10345 -- CATERING ORDER,-410.00,Groceries
2026-05-13,ADOBE  *CREATIVE CLD SAN JOSE CA,-17.27,Subscriptions
2026-05-14,KROGER #0287 COLUMBUS OH,-96.56,Groceries
2026-05-14,ONLINE PMT BLUEROCK PROPERTIES LLC,-2070.01,Rent
2026-05-14,APPLE.COM/BILL 866-712-7753 CA,-899.00,Subscriptions
2026-05-14,AT&T *PAYMENT 800-288-2020 TX,-44.90,Utilities
2026-05-14,COMCAST CABLE COMM 800-934-6489,-141.65,Utilities
2026-05-14,CASH APP*TRANSFER,-36.52,Other
2026-05-15,SQ *POKE BOWL TRUCK SD,-14.75,Dining
2026-05-15,ACH DEBIT GREYSTAR MGMT RENT,-1957.82,Rent
2026-05-15,HOME DEPOT #4409 PHOENIX AZ,-20.39,Shopping
2026-05-16,REC'D PAYPAL TRANSFER,2425.79,Income
2026-05-18,PANERA BREAD #601934 DALLAS TX,-39.71,Dining
2026-05-18,UBER *EATS HELP.UBER.COM,-31.61,Dining
2026-05-18,CASH APP*TRANSFER,-176.94,Other
2026-05-20,TST* CHEF'S TASTING ROOM LA JOLLA CA,-280.00,Dining
2026-05-20,METRO TRANSIT FARE MINNEAPOLIS MN,-22.61,Transport
2026-05-20,TJ MAXX #0872 DENVER CO,-15.61,Shopping
2026-05-21,ACH DEBIT GREYSTAR MGMT RENT,-2209.22,Rent
2026-05-21,ONLINE PMT BLUEROCK PROPERTIES LLC,-2300.65,Rent
2026-05-22,CHIPOTLE 2841 DENVER CO,-22.46,Dining
2026-05-22,76 - GAS STATION #3221,-14.93,Transport
2026-05-22,WIRE TRANSFER FEE,-110.09,Other
2026-05-23,BEST BUY 00003221 SEATTLE WA,-30.68,Shopping
2026-05-23,ACH CREDIT INTUIT QB PAYROLL SVC,2457.83,Income
2026-05-23,CASH APP*TRANSFER,-119.22,Other
2026-05-24,CHEVRON 0091827 LOS ANGELES CA,-56.73,Transport
2026-05-25,BEST BUY 00003221 SEATTLE WA,-146.73,Shopping
2026-05-26,ADOBE  *CREATIVE CLD SAN JOSE CA,-11.13,Subscriptions
2026-05-26,MISC DEBIT ADJUSTMENT,-141.02,Other
2026-05-27,ACH DEBIT PGE ELECTRIC BILLPAY,-49.66,Utilities
2026-05-28,UBER *EATS HELP.UBER.COM,-35.09,Dining
2026-05-28,CHEVRON 0091827 LOS ANGELES CA,-36.35,Transport
2026-05-28,AMC 24 THEATRES #1187 BURBANK CA,-84.14,Entertainment
2026-05-28,ACH CREDIT INTUIT QB PAYROLL SVC,1916.97,Income
2026-05-29,AMAZON PRIME*MI79K2 SEATTLE WA,-22.70,Subscriptions
2026-05-29,HULU 877-830-4858 CA,-20.63,Subscriptions
2026-05-30,TRADER JOE'S #421 SAN DIEGO CA,-110.16,Groceries
2026-05-30,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-115.19,Groceries
2026-05-30,COSTCO WHSE #0512 SAN JOSE CA,-16.55,Groceries
2026-05-30,HOME DEPOT #4409 PHOENIX AZ,-107.88,Shopping
